Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","3016469.02","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","076","Brazil","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","1967964.02","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","100","Bulgaria","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","39247.39","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","158","China, Taiwan Province of","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","68.42","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","250","France","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","1.9","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","300","Greece","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","15.73","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","332","Haiti","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","844.35","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","356","India","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","53.91","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","380","Italy","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","160.48","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","484","Mexico","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","1.97","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","498","Republic of Moldova","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","4683.78","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","642","Romania","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","467795.1","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","643","Russian Federation","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","1077.42","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","688","Serbia","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","162771.86","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","724","Spain","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","2812.85","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","764","Thailand","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","5524.93","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","792","Türkiye","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","1171.83","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","804","Ukraine","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","2027253.48","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","826","United Kingdom of Great Britain and Northern Ireland","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","0.04","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","840","United States of America","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","57919.65","A","Official figure"
