Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","818","Egypt","032","Argentina","5610","Import Quantity","0111","Wheat","2021","2021","t","942.36","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","036","Australia","5610","Import Quantity","0111","Wheat","2021","2021","t","244636.79","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","076","Brazil","5610","Import Quantity","0111","Wheat","2021","2021","t","942.36","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","124","Canada","5610","Import Quantity","0111","Wheat","2021","2021","t","5845.01","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","156","China, mainland","5610","Import Quantity","0111","Wheat","2021","2021","t","939.48","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","250","France","5610","Import Quantity","0111","Wheat","2021","2021","t","173826.58","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","276","Germany","5610","Import Quantity","0111","Wheat","2021","2021","t","939.48","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","380","Italy","5610","Import Quantity","0111","Wheat","2021","2021","t","1878.95","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","392","Japan","5610","Import Quantity","0111","Wheat","2021","2021","t","939.48","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","400","Jordan","5610","Import Quantity","0111","Wheat","2021","2021","t","0.02","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","440","Lithuania","5610","Import Quantity","0111","Wheat","2021","2021","t","39999.08","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","484","Mexico","5610","Import Quantity","0111","Wheat","2021","2021","t","0.45","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","528","Netherlands (Kingdom of the)","5610","Import Quantity","0111","Wheat","2021","2021","t","939.48","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","616","Poland","5610","Import Quantity","0111","Wheat","2021","2021","t","1881.83","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","410","Republic of Korea","5610","Import Quantity","0111","Wheat","2021","2021","t","410.87","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","642","Romania","5610","Import Quantity","0111","Wheat","2021","2021","t","944586.19","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","643","Russian Federation","5610","Import Quantity","0111","Wheat","2021","2021","t","2766270.21","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","752","Sweden","5610","Import Quantity","0111","Wheat","2021","2021","t","939.48","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","792","Türkiye","5610","Import Quantity","0111","Wheat","2021","2021","t","1879.01","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","804","Ukraine","5610","Import Quantity","0111","Wheat","2021","2021","t","1679813.71","I","Imputed value"
"TM","Detailed trade matrix","818","Egypt","784","United Arab Emirates","5610","Import Quantity","0111","Wheat","2021","2021","t","942.36","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","826","United Kingdom of Great Britain and Northern Ireland","5610","Import Quantity","0111","Wheat","2021","2021","t","1881.83","A","Official figure"
"TM","Detailed trade matrix","818","Egypt","840","United States of America","5610","Import Quantity","0111","Wheat","2021","2021","t","2821.31","A","Official figure"
