Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","682","Saudi Arabia","032","Argentina","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","1463514.52","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","036","Australia","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","48","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","076","Brazil","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","624791.08","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","156","China, mainland","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","136.36","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","818","Egypt","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","143.4","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","250","France","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","5","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","356","India","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","1890.44","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","380","Italy","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","4.29","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","400","Jordan","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","206.5","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","586","Pakistan","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","63.1","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","600","Paraguay","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","114180.33","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","498","Republic of Moldova","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","432.4","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","642","Romania","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","48906.76","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","643","Russian Federation","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","79.09","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","710","South Africa","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","1248.54","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","724","Spain","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","15.69","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","792","Türkiye","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","3544.05","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","804","Ukraine","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","72307.45","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","784","United Arab Emirates","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","409.44","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","826","United Kingdom of Great Britain and Northern Ireland","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","2.16","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","840","United States of America","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","726522.4","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","887","Yemen","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","12431.27","A","Official figure"
