Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","682","Saudi Arabia","050","Bangladesh","5610","Import Quantity","23161.03","Rice, broken","2021","2021","t","2.7","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","056","Belgium","5610","Import Quantity","23161.03","Rice, broken","2021","2021","t","0.2","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","116","Cambodia","5610","Import Quantity","23161.03","Rice, broken","2021","2021","t","47.76","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","156","China, mainland","5610","Import Quantity","23161.03","Rice, broken","2021","2021","t","1.56","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","250","France","5610","Import Quantity","23161.03","Rice, broken","2021","2021","t","0.14","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","356","India","5610","Import Quantity","23161.03","Rice, broken","2021","2021","t","16220","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","380","Italy","5610","Import Quantity","23161.03","Rice, broken","2021","2021","t","1.27","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","414","Kuwait","5610","Import Quantity","23161.03","Rice, broken","2021","2021","t","0.16","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","586","Pakistan","5610","Import Quantity","23161.03","Rice, broken","2021","2021","t","202.16","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","608","Philippines","5610","Import Quantity","23161.03","Rice, broken","2021","2021","t","1.4","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","410","Republic of Korea","5610","Import Quantity","23161.03","Rice, broken","2021","2021","t","0.64","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","144","Sri Lanka","5610","Import Quantity","23161.03","Rice, broken","2021","2021","t","0.25","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","764","Thailand","5610","Import Quantity","23161.03","Rice, broken","2021","2021","t","118.5","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","784","United Arab Emirates","5610","Import Quantity","23161.03","Rice, broken","2021","2021","t","5.05","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","840","United States of America","5610","Import Quantity","23161.03","Rice, broken","2021","2021","t","12.59","A","Official figure"
"TM","Detailed trade matrix","682","Saudi Arabia","704","Viet Nam","5610","Import Quantity","23161.03","Rice, broken","2021","2021","t","486.61","A","Official figure"
