Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","682","Saudi Arabia","036","Australia","5610","Import Quantity","0111","Wheat","2022","2022","t","773.6","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","048","Bahrain","5610","Import Quantity","0111","Wheat","2022","2022","t","2.51","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","076","Brazil","5610","Import Quantity","0111","Wheat","2022","2022","t","633649.18","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","233","Estonia","5610","Import Quantity","0111","Wheat","2022","2022","t","61065.7","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","276","Germany","5610","Import Quantity","0111","Wheat","2022","2022","t","261474.24","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","356","India","5610","Import Quantity","0111","Wheat","2022","2022","t","915.2","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","380","Italy","5610","Import Quantity","0111","Wheat","2022","2022","t","0.15","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","428","Latvia","5610","Import Quantity","0111","Wheat","2022","2022","t","366231.7","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","440","Lithuania","5610","Import Quantity","0111","Wheat","2022","2022","t","259982.56","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","616","Poland","5610","Import Quantity","0111","Wheat","2022","2022","t","114770.62","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","792","Türkiye","5610","Import Quantity","0111","Wheat","2022","2022","t","0.01","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","804","Ukraine","5610","Import Quantity","0111","Wheat","2022","2022","t","176031.64","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","784","United Arab Emirates","5610","Import Quantity","0111","Wheat","2022","2022","t","234.31","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","826","United Kingdom of Great Britain and Northern Ireland","5610","Import Quantity","0111","Wheat","2022","2022","t","1.05","X","Figure from international organizations"
"TM","Detailed trade matrix","682","Saudi Arabia","840","United States of America","5610","Import Quantity","0111","Wheat","2022","2022","t","3890.27","X","Figure from international organizations"
